year,month,day,data,median,LB,UB
2024,5,4,1.29591909171797,1.29591909171797,1.29591909171797,1.29591909171797
2024,5,11,1.25869361533985,0.641189387072767,-0,1.31776794409959
2024,5,18,1.30179462462177,0.819749096989554,0.134856383103061,1.4676699625798
2024,5,25,1.30798546,1.00914320525152,0.367844126522836,1.6553879081368
2024,6,1,1.30800216009253,1.24821097392048,0.54387333947921,1.87214585957953
2024,6,8,1.28423471998875,1.49281925370196,0.823817550622298,2.09976896332019
2024,6,15,1.63263759500072,1.75626138304546,1.13679058042734,2.42768384562735
2024,6,22,1.80186456933786,2.07417830408498,1.45519624699684,2.77147523040046
2024,6,29,2.6584696820679,2.50065357490241,1.85472796072321,3.14742166534148
2024,7,6,2.77001462623385,2.94442147157821,2.30946605188562,3.59679295441861
2024,7,13,3.44493098951627,3.42321161287319,2.79530849391889,4.06615128809534
2024,7,20,3.91679831785489,3.93806397797203,3.30966237040329,4.58586317584758
2024,7,27,4.30234435714413,4.5147500204864,3.89692071214974,5.16533716953742
2024,8,3,5.37872567748588,5.15275764009734,4.52710349245506,5.81758626676908
2024,8,10,5.9867173603643,5.85054158675646,5.15866052194115,6.53561818628541
2024,8,17,6.565073636,6.61248900349435,5.86601970262219,7.35493632517774
2024,8,24,NaN,7.44007682507562,6.5588272648973,8.25766874861277
2024,8,31,NaN,8.32455716980438,7.31826602649597,9.33926467041654
