year,month,day,data,median,LB,UB
2024,5,4,1.46998307158278,1.46998307158278,1.46998307158278,1.46998307158278
2024,5,11,1.39735776313811,1.01450574794479,0.0806811389827862,1.98836732270586
2024,5,18,1.36743536177273,1.28614054350515,0.360617588812512,2.22496647337825
2024,5,25,1.44370547218231,1.56459928628931,0.614101032998888,2.49562246962127
2024,6,1,1.70619210399999,1.86325725020083,0.912634632878677,2.8090868580768
2024,6,8,1.82073779715846,2.15298372896564,1.21815083115588,3.06913891874854
2024,6,15,2.12320334700114,2.45058423880662,1.51307066914594,3.34427108402564
2024,6,22,2.43811289699209,2.73713066574635,1.78809955249132,3.69035714787332
2024,6,29,2.870875182,3.05048866112873,2.07921895751386,4.01254883077349
2024,7,6,3.25018928772527,3.35947260148734,2.37417017679879,4.34747294089577
2024,7,13,4.51292741411255,3.69249347399965,2.65926589162287,5.02435585520088
2024,7,20,5.06479986713741,4.30666777313666,3.08298003190343,6.03345788598708
2024,7,27,5.90469760258909,5.90365641287345,4.82473897337239,6.97499296128186
2024,8,3,6.97955987748962,6.38337380415289,5.3656405046983,7.40670412837084
2024,8,10,6.41641366784601,6.77247090333984,5.76723992022754,7.79946801045258
2024,8,17,7.04192838964738,7.12519588491757,6.1277488335224,8.21577199831593
2024,8,24,NaN,7.51202345660659,6.46746728770329,8.67702621230167
2024,8,31,NaN,7.87282784544286,6.76964272714456,9.17599443879294
