date,Midwest,National,Northeast,South,West,
1/1/22,16.23587457814012,16.77322500949373,21.16233127777042,16.29508258687289,16.923724360486005,
1/8/22,19.733570197429813,23.73898406358035,22.291833888036898,25.897844498896905,34.60105143455975,
1/15/22,18.035032513236438,23.650532479389632,28.580094855465855,23.925295715961134,33.021622779241675,
1/22/22,16.948687583412394,19.464151616342928,24.278390940199497,18.013530924671787,36.44049364871367,
1/29/22,11.881812339253155,13.779794534552098,13.403670849982298,14.009215897986891,22.64087654516384,
2/5/22,8.364985972675914,9.211288702822287,9.154445063144792,8.529213229032589,11.538962122836974,
2/12/22,5.583365205809745,5.998048793168823,6.875762636729977,5.861999237,6.6169899090206385,
2/19/22,4.017602916310168,3.9109744745339867,4.721872547244839,3.716559227036999,3.6125571083694625,
2/26/22,2.616565876807136,2.6037209318218997,3.424297609811217,2.381357215705318,2.2611753307280797,
3/5/22,1.8637730009487308,1.7659453622082708,2.413702840741707,1.5108582067039225,1.4006695824646844,
3/12/22,1.7601695918582578,1.438741987852258,1.5996897797846095,1.2128562337950766,1.0510743236712616,
3/19/22,1.3634828723887826,1.2084075535937875,1.3796093332848598,1.0748258635932226,0.9085788564187474,
3/26/22,1.5003239241835122,1.2627549713530677,3.6866276892497423,1.0153530743705468,0.9051943461198892,
4/2/22,1.2316667513820592,1.2422210875113482,4.531248281159188,1.1296661182436165,1.0799756313990425,
4/9/22,1.4886774127172715,1.5599142045742107,6.267133922812533,1.4700723761077783,1.295587981727566,
4/16/22,2.1005159966801794,2.1005159966801794,5.225776156167477,1.9104395450032419,1.8736745370799333,
4/23/22,2.894082163030454,3.148471298736332,7.544533584664063,2.907068672326302,2.87647504,
4/30/22,4.293142658,3.911413791497076,9.198803989679016,3.1400657520073483,2.605781130142762,
5/7/22,5.195443161774301,4.9526636266529005,9.016624177547833,3.9784206893904237,3.9965231960621947,
5/14/22,6.505188768574751,5.777562843682242,5.775773654584254,4.879189803756914,5.219059012957839,
5/21/22,6.969555320921522,6.680195048570809,7.281913030231275,6.277843712910468,5.961267249,
5/28/22,7.265761119034902,7.111428515404416,6.617413716863831,6.8822237782030875,8.189266428483945,
6/4/22,6.882122310131369,7.223816812144191,4.419682899139588,6.984440683658172,9.749288624,
6/11/22,6.656302911368607,6.752891525772694,3.038041052210632,6.447990560040877,9.865396762524515,
6/18/22,6.407392287749931,6.651015565371191,4.455739223728285,5.826518686057539,9.254954277202172,
6/25/22,6.818424335755163,7.199510164407363,3.2198094428833093,6.231397556300024,10.889675270305345,
7/2/22,7.540312261880711,7.919451471635691,4.238898318866143,6.347146266753201,11.79650200457106,
7/9/22,9.487531436224664,9.272788031255578,5.111021588026128,8.258226498663921,12.266860428187332,
7/16/22,8.694269987980618,9.013793872984591,5.758972929322409,9.219803699052214,10.959759531184494,
7/23/22,9.635945099607914,9.543635362503398,6.842072021401501,9.503478290766331,10.99768564298834,
7/30/22,10.173756565623222,8.858422180393791,5.125393164811783,8.693203767961982,9.367480161264657,
8/6/22,9.878898381,7.899911618326139,5.278755332183917,8.481160328,6.983229142946832,
8/13/22,9.127360097981189,7.252818031393442,6.245069187019014,7.155017529073593,6.202618991746633,
8/20/22,8.432088112170915,6.819546696784535,5.8834208234251255,6.460795343025026,5.603003022242773,
8/27/22,7.884526935702908,6.522764971717187,6.0257327577063675,6.623400661696164,5.357891695701056,
9/3/22,6.532148834001948,5.8386493595092945,5.365236593211499,6.284767749822684,4.812382780569294,
9/10/22,6.273836966568652,5.561184611471148,6.042742334017712,5.920218058039955,4.455066756962248,
9/17/22,5.735316015955128,5.159808245560967,6.6480713756678105,4.918244537366946,4.354514510463068,
9/24/22,4.274949412335341,4.584053109698752,4.738402720899522,4.727034937085796,4.773406748261051,
10/1/22,3.6427731996149273,3.7251455637545625,6.408322126385128,2.460461372476355,3.8527612338274233,
10/8/22,4.1023144696649965,3.487089233144503,5.030425041447499,2.109555777710762,3.6761108011558186,
10/15/22,3.7285895385347847,3.3693945580147546,6.055270687547776,2.1085666970860673,3.240746969610913,
10/22/22,4.424085451677341,3.461474076666721,4.221633156269317,2.2522478016340477,3.363499712755647,
10/29/22,5.053116907323393,4.029488863003323,4.861916069042833,2.735003146,3.6033299470118907,
11/5/22,5.3677838551644985,4.067804421843559,4.1150880275507244,2.6006038919502683,4.467500392220341,
11/12/22,5.1400547562511925,4.186020145172468,3.217263071062295,2.3698584158494165,5.284428633216208,
11/19/22,5.329575981278858,4.598416422726083,3.947400956015529,2.694505418819662,7.3506822324953145,
11/26/22,6.851350228734539,5.389551021,3.9664988440753373,3.200479107965515,8.162742401484211,
12/3/22,9.471968424,8.564077732408512,6.650432755177235,7.016671474477089,11.233075783462137,
12/10/22,9.547551335428441,8.479961108321703,8.449003534831391,6.265391349245077,10.222746855727284,
12/17/22,10.95432258897948,9.029043803500633,8.521146383,7.508578964,9.182129563821906,
12/24/22,9.918780289916503,9.473238438,8.465483605488984,9.910576121808795,8.946979440274127,
12/31/22,11.132972150643061,10.960469049368603,10.268277731748736,13.00143151116025,9.400278271,
1/7/23,7.285172190009187,8.321946128050884,7.660540660757979,10.892750770146867,8.028240555518376,
1/14/23,5.378347846306056,6.0368795098283385,5.7563168879516695,7.1762025477994555,5.709019580728517,
1/21/23,5.1178680670990335,5.712597206405168,6.517932818492939,6.7402757928473624,4.915735639999285,
1/28/23,5.733082233508087,5.804668206659576,7.033861508110004,6.7952458074643385,4.457389748840732,
2/4/23,5.628329460298515,6.100169371653737,6.437768813614143,6.915628782661999,6.143853288697468,
2/11/23,5.993188236365965,6.078945073833556,4.750881194095492,6.808697449350081,6.6829029788740755,
2/18/23,6.914894013476264,6.2645680248598365,5.447541414725563,5.490925295940114,7.118678383234729,
2/25/23,6.4376458741272575,5.803355626006283,5.519912023320211,4.132223926809366,7.088008097734569,
3/4/23,5.707473540244129,5.1289095790505295,3.8488521572208994,3.861193629940645,6.0942891744631975,
3/11/23,5.692617496880375,4.461994571412896,2.601963094126792,2.8159198465796518,5.691666617064375,
3/18/23,5.7806166248146305,4.703947407264449,3.445988287486307,3.0188311124701697,5.994420948187553,
3/25/23,5.380990103707981,4.398199266498444,2.8509592278121567,3.7074320471126736,5.174967943534903,
4/1/23,4.278642291651939,3.4545635326203694,1.7790814289363448,2.9990461087378373,4.355023053233138,
4/8/23,3.998835948,2.9021664502529205,1.5201604851075228,2.3852193899432343,3.4751621733083535,
4/15/23,3.2814538493444827,2.7942688794547124,1.436284140372826,2.1589920625597108,3.3246053171363124,
4/22/23,3.036672959849838,2.1819112743192566,1.093597039913477,1.7607634736786242,2.6494082544884097,
4/29/23,2.256709179014104,1.8941211847775679,1.2190076812039727,1.6867369508694998,2.2942529026160554,
5/6/23,2.294311216632544,2.0320673846499697,1.4597102124062658,1.9054097127058518,2.546883271693002,
5/13/23,2.282786620891206,1.9581210345375488,1.241097103907209,1.7704503376615852,2.2458983317711825,
5/20/23,1.8101746350210888,1.682262378354455,1.0683423589303622,1.5790380854694166,2.1047316466229335,
5/27/23,1.754630229388422,1.5760421380631406,1.087842468953097,1.4870434832600403,1.6750822844731799,
6/3/23,1.2874242733684396,1.291637195646123,1,1.4230159768711803,1.5567577055188844,
6/10/23,1.0875920907078096,1.138646516176122,1,1.2471953762172954,1.4059278058250677,
6/17/23,1.157712505305285,1.1570971699959185,1.0360356147421472,1.2301989432734168,1.2786119124462219,
6/24/23,1.0304508583983565,1.2026394560013982,1.0405487574002878,1.373851452337076,1.608564902061865,
7/1/23,1.181935210432578,1.355947198604698,1.101450213,1.6522469883604698,1.8060557504865646,
7/8/23,1.3000611717319943,1.6277726784903899,1.3939169008285277,1.9471747381035451,1.954580180749748,
7/15/23,1.3919576082729634,1.8367455298234143,1.8035404577428613,1.9608883398791472,2.634471578014186,
7/22/23,1.604356051496203,2.0960445644001804,1.9736436545132365,2.2629612961000367,3.3516795556154335,
7/29/23,1.8170680745217684,2.657115182117022,2.4804085713156496,3.1959869080360344,4.2957097906090125,
8/5/23,2.279645765129258,3.231016411692223,2.7122414179634786,3.832684722692492,5.126334544066354,
8/12/23,2.876890198466879,3.911815877320576,3.3132532324388317,4.473808127664499,5.685157981214229,
8/19/23,3.8239938634282233,4.365929902217614,3.206907850034673,5.150093966429621,6.2890596399577845,
8/26/23,4.200012204998201,4.925712487062929,3.7784783215594437,5.928582159287898,6.225880632539268,
9/2/23,5.058301597295875,5.649871641646598,4.385977273612326,6.456162687,6.582401360661286,
9/9/23,5.873974645,6.207283235544304,5.739722552962052,6.656504439777173,6.493605637312097,
9/16/23,5.334816188890035,5.567769333498273,6.289006217318851,4.745376919101745,5.8620666411990685,
9/23/23,5.133315273600783,5.335142206,5.981587755354234,4.342042065947933,5.584220655133548,
9/30/23,4.552475244398596,5.004424197757375,6.782329172639695,3.641406651947089,5.1925027057464455,
10/7/23,3.882982037376647,4.454815401600098,6.275057816461027,3.1739154693638163,4.816692819407167,
10/14/23,3.4342516251386823,3.804900879818766,4.3508360843155796,3.1353325685097446,5.258283938091958,
10/21/23,3.5836567455060746,3.8386847351513658,4.288075408158933,3.1326604504932583,5.205913570584515,
10/28/23,4.246952833092968,4.05687575,4.194236940179225,3.1782486876397105,4.263795794988317,
11/4/23,4.535344255240757,4.318962366906735,4.715395264325913,3.2453955078210743,4.645645460179271,
11/11/23,5.855470451,4.827668832029981,3.6575188277720536,3.5032361762084823,5.619936705556256,
11/18/23,6.621238723502352,5.229084658207789,4.406825488706284,3.635995928877021,6.133551835577532,
11/18/23,6.621238723502352,5.229084658207789,4.406825488706284,3.635995928877021,6.133551835577532,1 Year
11/25/23,8.081834065506587,5.946134492,5.897046049322929,3.6438693796966133,5.4663436474107066,
11/25/23,8.081834065506587,5.946134492,5.897046049322929,3.6438693796966133,5.4663436474107066,1 Year
12/2/23,10.869601248853897,7.543872750367479,6.661392265248704,5.570921901116622,6.576758816880993,
12/2/23,10.869601248853897,7.543872750367479,6.661392265248704,5.570921901116622,6.576758816880993,1 Year
12/9/23,11.190631796498081,8.55456599,8.454124712,5.829751010963066,7.406585221143388,
12/9/23,11.190631796498081,8.55456599,8.454124712,5.829751010963066,7.406585221143388,1 Year
12/16/23,12.163719902439876,9.694386247849703,10.425327570303804,7.1975433540569425,7.596313577823802,
12/16/23,12.163719902439876,9.694386247849703,10.425327570303804,7.1975433540569425,7.596313577823802,1 Year
12/23/23,12.468779669890187,11.27892929092129,10.805867981458796,10.221983819141336,11.146333223131492,
12/23/23,12.468779669890187,11.27892929092129,10.805867981458796,10.221983819141336,11.146333223131492,1 Year
12/30/23,15.06654116572685,13.36251847002831,12.929728642088524,12.929881717557882,12.27887820798171,
12/30/23,15.06654116572685,13.36251847002831,12.929728642088524,12.929881717557882,12.27887820798171,1 Year
1/6/24,12.478817441739178,12.631108260593948,12.133428166570706,12.79591555187509,13.505371254946427,
1/6/24,12.478817441739178,12.631108260593948,12.133428166570706,12.79591555187509,13.505371254946427,1 Year
1/13/24,11.066461228798754,10.198375490890884,9.452941575758501,10.305896519353205,9.724396029501575,
1/13/24,11.066461228798754,10.198375490890884,9.452941575758501,10.305896519353205,9.724396029501575,1 Year
1/20/24,7.8029905693339705,8.400265088455605,7.915668584009619,9.527061117125514,8.948431286955294,
1/20/24,7.8029905693339705,8.400265088455605,7.915668584009619,9.527061117125514,8.948431286955294,1 Year
