Date,Midwest,National,Northeast,South,West
1/1/22,16.32216490037051,17.16683220717112,21.021465107817644,16.29508258687289,17.51977082816924
1/8/22,19.733570197429813,23.828171953943198,22.291833888036898,25.897844498896905,36.807921425698964
1/15/22,18.035032513236438,23.69040710870487,28.580094855465855,23.925295715961134,39.237711522411516
1/22/22,16.948687583412394,19.98776166649278,23.57253571859046,18.013530924671787,37.48908573565959
1/29/22,11.881812339253155,14.22235245,13.30041967665205,14.009215897986891,23.270745073935714
2/5/22,8.364985972675914,9.267654965139961,9.189165293448639,8.529213229032589,12.76709872100755
2/12/22,5.583365205809745,5.998048793168823,6.875762636729977,5.861999237,6.650180100354854
2/19/22,4.017602916310168,3.9455896533287893,4.721872547244839,3.716559227036999,3.761507211993014
2/26/22,2.616565876807136,2.6037209318218997,3.424297609811217,2.381357215705318,2.3298833326631248
3/5/22,1.8637730009487308,1.7570564215061715,2.413702840741707,1.5108582067039225,1.3839557234344342
3/12/22,1.7601695918582578,1.420134846109495,1.5501953427887136,1.2128562337950766,1.0379075407632374
3/19/22,1.3634828723887826,1.2084075535937875,1.3768508086976476,1.0748258635932226,0.9085788564187474
3/26/22,1.5003239241835122,1.2596661072056738,3.6866276892497423,1.0153530743705468,0.8776717273072194
4/2/22,1.2316667513820592,1.2316667513820592,4.531248281159188,1.1296661182436165,1.0776489186297789
4/9/22,1.4886774127172715,1.5682476310728557,6.267133922812533,1.4700723761077783,1.3058019974066621
4/16/22,2.1005159966801794,2.1078217841844045,5.225776156167477,1.9104395450032419,1.8736745370799333
4/23/22,2.894082163030454,3.154205280962418,7.732705741149388,2.907068672326302,2.87647504
4/30/22,4.293142658,3.911413791497076,9.198803989679016,3.1400657520073483,2.6215868644856095
5/7/22,5.195443161774301,4.943299633119285,9.016624177547833,3.9784206893904237,4.077821102708457
5/14/22,6.505188768574751,5.788792070026383,5.775773654584254,4.879189803756914,5.219059012957839
