year,month,day,data,median,LB,UB
2024,11,9,1.794500001,0.794500001,0.794500001,0.794500001
2024,11,16,1.78549785433657,1.44714051103485,0.502174225071899,2.42666967424064
2024,11,23,1.90471976511371,1.73816938012934,0.868631874971719,2.64604473630443
2024,11,30,1.80781173130696,2.12293258984765,1.29806575673217,2.9390529793595
2024,12,7,2.84468366344353,2.63686989707655,1.83609069435143,3.43642472558174
2024,12,14,3.59753783067015,3.2945856267807,2.4887521820928,4.11307435483975
2024,12,21,4.10857766674566,4.04032381704938,3.194657704288,4.83851182486843
2024,12,28,4.98274504143952,4.75518785507119,3.85017841003758,5.60874668352222
2025,1,4,5.57104928668415,5.31513588365436,4.39169167814113,6.16789173961294
2025,1,11,5.41241944170265,5.52595636514686,4.5370201599419,6.411822198534
2025,1,18,NaN,5.35185284520737,4.17811397364395,6.52742173437947
2025,1,25,NaN,4.81297266059435,3.34922812414104,6.77810031463722
