prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
9.33,9.23,8.99,8.85,8.67,8.39,8.25,7.86,7.58,7.13,6.65,6.43,9.56,9.69,9.91,10.03,10.15,10.42,10.82,11.08,11.53,11.93,12.62
9.51,9.31,9.13,9.02,8.81,8.69,8.51,8.19,7.82,7.48,6.64,6.28,9.64,9.86,10.05,10.15,10.41,10.66,10.97,11.06,11.64,12.05,12.43
9.68,9.52,9.32,9.25,9.02,8.8,8.54,8.3,8.03,7.44,7.09,6.6,9.82,9.97,10.19,10.43,10.55,10.9,11.04,11.36,11.96,12.36,12.84
9.85,9.67,9.56,9.3,9.15,8.98,8.77,8.39,8.31,7.63,7.07,7.09,9.98,10.2,10.36,10.61,10.7,10.95,11.21,11.62,12.04,12.63,12.98
10.03,9.89,9.71,9.48,9.35,9.14,8.91,8.55,8.26,7.77,7.36,6.66,10.23,10.33,10.5,10.69,10.9,11.18,11.36,11.62,12.21,12.62,12.82
10.2,10.04,9.85,9.73,9.46,9.32,9.13,8.79,8.42,8.25,7.74,7.15,10.32,10.54,10.74,10.92,11.13,11.32,11.57,12,12.44,12.78,13.53
10.38,10.22,9.98,9.85,9.61,9.53,9.32,8.95,8.6,8.16,7.76,7.32,10.57,10.68,10.91,11.01,11.18,11.47,11.64,11.98,12.54,13.05,13.66
10.55,10.47,10.22,10.06,9.92,9.61,9.46,9.15,8.87,8.44,7.95,7.47,10.75,10.85,11.04,11.25,11.43,11.61,11.93,12.22,12.68,13.08,13.81
10.72,10.58,10.34,10.19,10.06,9.88,9.64,9.24,9.06,8.52,8.32,7.78,10.98,11.1,11.15,11.39,11.55,11.91,12.04,12.47,12.85,13.39,13.86
10.9,10.8,10.55,10.41,10.21,9.93,9.72,9.53,9.2,8.77,8.43,7.89,11.13,11.25,11.38,11.69,11.66,11.99,12.18,12.61,13.01,13.45,13.91
11.07,10.96,10.68,10.66,10.48,10.29,9.97,9.63,9.28,8.89,8.51,8.03,11.25,11.37,11.66,11.94,12.01,12.19,12.35,12.74,13.33,13.52,14.09
11.24,11.15,10.96,10.69,10.5,10.39,10.19,9.94,9.5,9.16,8.75,8.11,11.44,11.64,11.78,11.86,12.16,12.28,12.58,13.02,13.37,13.64,14.33
