year,month,day,data,median,LB,UB
2024,5,4,1.25736076821759,0.257360768217589,0.257360768217589,0.257360768217589
2024,5,11,1.72063544909971,1.64998265386937,0.112899403471825,3.17986985897515
2024,5,18,2.23072119641625,1.94830306415483,0.47398914432681,3.38141398180258
2024,5,25,2.78257620271002,2.29734264906241,0.836764295171893,3.72439537729923
2024,6,1,3.38484229037156,2.74402438402523,1.36312315128277,4.18201513354745
2024,6,8,4.3953580808239,3.32112926455802,1.92986889015844,4.71805180850015
2024,6,15,4.50103988012385,4.06004004327302,2.62342634243722,5.45380314737917
2024,6,22,6.60634355393631,4.90200023942358,3.43576632543054,6.41994934319855
2024,6,29,6.88314500372719,5.93241321353087,4.48077554642907,7.36978490122589
2024,7,6,7.29572849815734,7.04725294904568,5.55713870089751,8.57409806487933
2024,7,13,9.92404471259271,8.22448087399615,6.69114094943254,9.75446820520667
2024,7,20,9.70307894364271,9.35627482797173,7.87199825844252,10.8131114329195
2024,7,27,10.2827272433615,10.3149219973256,8.7978178472177,11.8016478449711
2024,8,3,12.1973065497463,11.0451379916174,9.50781780980662,12.5198465807285
2024,8,10,11.7741308859526,11.388985817323,9.83492963568488,12.8343251288054
2024,8,17,11.1625065823365,11.3386786304297,9.79250659459474,12.8037350064183
2024,8,24,9.58819162845778,10.8810913468898,9.36693609757065,12.3901154655271
2024,8,31,NaN,10.1275579802824,8.48333564997563,11.8515549489452
2024,9,7,NaN,9.16234131915392,7.33041258295261,11.0271723972717
