year,month,day,data,median,LB,UB
2024,11,9,2.19407729332449,2.19407729332449,2.19407729332449,2.19407729332449
2024,11,16,2.35089469703082,1.85590967451056,0.793081606794931,3.00319164773425
2024,11,23,2.27812729349319,1.87189033263124,0.772212150706459,2.99617061837667
2024,11,30,1.7165264121608,2.05878872404544,0.831776932903116,3.44013246998206
2024,12,7,2.9296749976275,2.83644567485269,1.65805657341322,4.01488572481219
2024,12,14,3.19631236493813,3.05410140150545,1.97929129273732,4.24291539310486
2024,12,21,2.87510636239591,3.17301272210339,2.07287223296611,4.29322217651747
2024,12,28,3.22353041275364,3.27396241132464,2.14675118504884,4.39882636483415
2025,1,4,3.52883393736226,3.30466313259285,2.19207609521419,4.43765017177184
2025,1,11,3.244959624007,3.32978478099341,2.19103088739298,4.5677953632374
2025,1,18,NaN,3.2989154338643,2.14234784670068,4.69792947020169
2025,1,25,NaN,3.23215550401725,1.94483288861924,4.94257410181633
