Date,data,median,LB,UB
2024-10-19,1.81,1.24,0.71,1.77
2024-10-26,1.65,1.33,0.88,1.78
2024-11-02,1.31,1.42,1.05,1.8
2024-11-09,1.23,1.52,1.2,1.84
2024-11-16,1.22,1.61,1.32,1.9
2024-11-23,1.2,1.71,1.42,2
2024-11-30,1.34,1.8,1.48,2.12
2024-12-07,1.77,1.89,1.52,2.27
2024-12-14,2.31,1.99,1.54,2.44
2024-12-21,2.73,2.08,1.55,2.61
2024-12-28,4.91,2.17,1.56,2.79
2025-01-04,5.64,2.27,1.56,2.97
