year,month,day,data,median,LB,UB
2024,5,4,1.33546965383631,1.33546965383631,1.33546965383631,1.33546965383631
2024,5,11,1.39250293683719,1.20112438788861,0.653941204542286,1.7624281467337
2024,5,18,1.53340377899374,1.37832022823643,0.836543029562133,1.91555105109928
2024,5,25,1.66409490636694,1.60145375964008,1.09342388396942,2.12238092257598
2024,6,1,1.89806235846294,1.87137195073661,1.35679847894597,2.39425533864625
2024,6,8,2.16955397311957,2.22990794673207,1.71014393297804,2.73177402956915
2024,6,15,2.40235945868997,2.67528679386627,2.173804456438,3.20740244935223
2024,6,22,2.97289489243517,3.22792040790858,2.70939768624906,3.7335251006207
2024,6,29,3.82614963479006,3.88427752345632,3.36776184688421,4.39865112766523
2024,7,6,4.56364208565592,4.63347178050192,4.10426954596531,5.16909773615192
2024,7,13,5.70814338241764,5.46163594044912,4.94150764806934,6.00014556549121
2024,7,20,6.34632076434372,6.30848116211142,5.76680839896588,6.84274261846528
2024,7,27,6.81498056541935,7.12246361128299,6.58550206828172,7.66545599498838
2024,8,3,8.091723727,7.76327080933414,7.24523686756235,8.29363242927298
2024,8,10,8.36742379064692,8.20364658159882,7.66441842393704,8.76367238314843
2024,8,17,8.1235595126949,8.32880100938785,7.72357298561798,8.95705102572693
2024,8,24,NaN,8.14883113715539,7.40075281463432,8.95797452808798
2024,8,31,NaN,7.62574298636876,6.76119540528888,8.67848628940988
