year,month,day,data,median,LB,UB
2024,5,4,1.33546965383631,1.33546965383631,0.335469653836306,1.33546965383631
2024,5,11,1.39250293683719,0.726761140324718,-0,1.45670285885682
2024,5,18,1.53340377899374,0.973026755022669,0.196591520883491,1.73321229449615
2024,5,25,1.66409490636694,1.25558858071518,0.470908859310367,2.03808537362834
2024,6,1,1.89806235846294,1.61178145698213,0.832543263382771,2.45326761730924
2024,6,8,2.16955397311957,2.06494627932201,1.225942076825,2.93339704687339
2024,6,15,2.40235945868997,2.60676352589717,1.53952602805652,3.47825377944001
2024,6,22,2.97289489243517,3.24020959660439,1.89081561416275,4.07523433867972
2024,6,29,3.82614963479006,3.93641456981085,2.30915031089072,4.80108354870536
2024,7,6,4.56364208565592,4.67243483380364,2.82934952864445,5.5222787354316
2024,7,13,5.70814338241764,5.44373666966604,3.44474518279412,6.33335493154471
2024,7,20,6.34632076434372,6.19534414528099,4.1370752525094,7.07154609284297
2024,7,27,6.81498056541935,6.90539856063046,4.96314848384147,7.82276431735661
2024,8,3,8.091723727,7.52984981318583,5.80788156950837,8.45926390910705
2024,8,10,8.36742379064692,8.03321426570148,6.64416113318596,8.93723893991958
2024,8,17,8.1235595126949,8.37876493824723,7.29835668886806,9.41454720800285
2024,8,24,NaN,8.53552684574471,7.42016250154487,9.94445525111347
2024,8,31,NaN,8.56255464287565,7.03010021902849,10.4059371422708
