year,month,day,data,median,LB,UB
2024,9,14,6.73156385786675,6.73156385786675,6.73156385786675,6.73156385786675
2024,9,21,5.42130338178198,5.39360658627182,4.63734812766855,6.16152117769937
2024,9,28,4.03453667608885,4.21007845032481,3.54197837305527,4.90430329740135
2024,10,5,3.16440405503819,3.21799992863671,2.56582716244192,3.85096236041105
2024,10,12,2.16126098839167,2.3826541576619,1.74338471371501,3.00421093480825
2024,10,19,2.17647605677161,1.97219180831304,1.34852154325017,2.59160745630642
2024,10,26,1.92985505957269,1.7887960790914,1.15789416769498,2.40135945075625
2024,11,2,1.78494688912129,1.68710200423173,1.04779653537544,2.31637615480333
2024,11,9,1.47865448261152,1.59788284308919,0.972343486067809,2.24568525157669
2024,11,16,1.30665985149828,1.48341105643981,0.851811748482453,2.15211701762412
2024,11,23,1.444762494,1.35373679585668,0.732976215989814,2.08667109659386
2024,11,30,1.479972501,1.21231575899035,0.588929124789648,2.00292056503794
