year,month,day,data,median,LB,UB
2024,5,4,1.46998307158278,1.46998307158278,1.46998307158278,1.46998307158278
2024,5,11,1.39735776313811,0.704944122419218,-0,1.58116288640914
2024,5,18,1.36743536177273,0.935631919008038,0.0581459557113034,1.82921620899711
2024,5,25,1.44745531300306,1.20058453620234,0.294495292082257,2.09280157510521
2024,6,1,1.71220752534813,1.51393887947034,0.615911336767317,2.42599507389844
2024,6,8,1.82392379655477,1.88874220198651,0.964711864708478,2.77007261925306
2024,6,15,2.12676635479012,2.2689098630879,1.34581337958021,3.1912592444687
2024,6,22,2.43811289699209,2.7159764848695,1.81790838716089,3.63066254052388
2024,6,29,2.86301336467155,3.22886897098293,2.32948851318423,4.13494298334796
2024,7,6,3.25018928772527,3.75764933160512,2.8666502344513,4.65301145199622
2024,7,13,4.51292741411255,4.34275381872422,3.43949011439352,5.25084879861016
2024,7,20,5.06479986713741,4.93841532449461,4.05817452663409,5.86910168937502
2024,7,27,5.90469760258909,5.5810150178351,4.66326265166711,6.50240350011286
2024,8,3,7.01639848087636,6.21545829002212,5.28777730730069,7.1429563192461
2024,8,10,6.43630853597514,6.8330615876356,5.92712499601362,7.76718908844488
2024,8,17,7.04192838964738,7.45623741824111,6.49998293215266,8.43154081579161
2024,8,24,8.28579738650939,8.02974203420943,6.95651410486135,9.14825504698543
2024,8,31,NaN,8.57425072596465,7.15134034940445,9.93253204744494
2024,9,7,NaN,9.08785330047249,7.1107003806417,10.7833028782974
