Date,data,median,LB,UB
2024-09-14,6.73,5.51,4.2,6.88
2024-09-21,5.42,4.96,3.52,6.28
2024-09-28,4.03,4.4,3.1,5.68
2024-10-05,3.16,3.85,2.45,5.2
2024-10-12,2.16,3.3,2.03,4.58
2024-10-19,2.18,2.74,1.39,4.05
2024-10-26,1.93,2.19,0.84,3.47
2024-11-02,1.78,1.64,0.3,2.92
2024-11-09,1.48,1.08,0,2.37
2024-11-16,1.31,0.53,0,1.81
2024-11-23,1.44,0,0,1.25
2024-11-30,1.48,0,0,0.72
