Date,data,median,LB,UB
2024-10-12,3.06,NA,NA,NA
2024-10-19,2.47,NA,NA,NA
2024-10-26,2.19,NA,NA,NA
2024-11-02,2.14,NA,NA,NA
2024-11-09,2.13,NA,NA,NA
2024-11-16,1.91,NA,NA,NA
2024-11-23,1.82,NA,NA,NA
2024-11-30,1.43,NA,NA,NA
2024-12-07,2.6,NA,NA,NA
2024-12-14,2.84,NA,NA,NA
2024-12-21,2.6,2.26,1.29,3.22
