Date,National,Midwest,Northeast,South,West
5/4/24,1.4699830715827769,1.333192298016659,1.2913577444556283,1.324565718674041,1.234891045
5/11/24,1.393638962215494,1.365188066785136,1.2608814434238869,1.3339119946101796,1.6969034465606123
5/18/24,1.3674353617727277,1.5296572616428368,1.3074786432672236,1.3922462323804092,2.1514968159076604
5/25/24,1.451205153823813,1.6790192101973433,1.3485067532115933,1.5838708032770334,2.7061281494797784
6/1/24,1.7189576320646953,1.9275571789491956,1.2864589707989167,1.8184410776040953,3.462806918511151
6/8/24,1.8427846150000913,2.1828529009394466,1.3399719848530105,2.0445821222783978,4.252582381213106
6/15/24,2.1303293625790913,2.440116301215737,1.6294872762484136,2.4456478878234913,4.392186617674453
6/22/24,2.414043947627436,3.0130165151863046,1.812951345860157,3.27072398,6.859163858942073
6/29/24,2.870875182,3.8304872309805615,2.6619299411398414,3.970879839488801,6.908591415560409
7/6/24,3.292357127031482,4.447756676424531,2.848191944301125,4.713512785983931,7.097103724800597
7/13/24,4.5809247547761345,5.479718373735622,3.470656452241875,5.883541567285676,9.591145121720835
7/20/24,5.064799867137409,6.197518115252511,3.920673966,7.589445461264704,9.535690568680337
7/27/24,5.904697602589089,6.644730567926858,4.2766498494532215,8.673909670371284,10.340922106758766
8/3/24,6.979559877489624,8.134865907369358,5.394524853185959,10.327641401179992,12.084607234200949
8/10/24,6.3859488239602165,8.177453261544981,5.986717360364301,10.399136121861408,11.43864015443872
8/17/24,7.041928389647383,8.019200411342815,6.550755638388476,9.448560691736356,10.874143068483288
8/24/24,8.213080972143603,8.198974340813665,6.043012707,9.867663997050279,9.040469628218046
8/31/24,8.452911047588792,7.826831654876761,5.683757606329541,9.170691091111749,9.229284636039925
9/7/24,7.771902542294979,7.4837841573066175,4.785638024500469,7.894999104400059,10.109859930539299
9/14/24,7.467082949982454,6.732074602571527,4.371836976349785,6.7309047793693395,7.583910549000477
9/21/24,5.618190856293083,5.315601846049675,3.944765617589435,5.315601846049675,5.788672468168981
9/28/24,4.221087145054791,4.039245692034582,2.851641336423364,3.9513928049955522,4.966476326187844
10/5/24,2.6898334020117183,2.8336373074766774,1.3299876811637743,2.9452311773391937,3.512709306704714
10/12/24,2.185046937255802,2.272767575115438,1.8152295090080892,2.015380347138202,2.9173846605143163
