date,Midwest,National,Northeast,South,West
9/9/23,5.891489477929578,6.236090404481441,5.777365024951527,6.7675651117889775,6.447794028196025
9/16/23,5.3238737234451206,5.520218831,6.289006217318851,4.814353924392333,5.667882896885864
9/23/23,5.0957869737162875,5.329127628992065,5.981587755354234,4.50672565,5.634210496227215
9/30/23,4.536653762785527,5.015804944380079,6.913375458676896,3.864284767,5.131295778568811
10/7/23,3.876874132531479,4.472802285,6.390902552391688,3.1931920606173465,4.6378242994621655
10/14/23,3.401756426176674,3.812097230022748,4.471399438133333,3.0750223683929163,5.130783649764925
10/21/23,3.583656745474113,3.894545216543063,4.304160694509534,3.131923014265605,5.083907410972951
10/28/23,4.246952833092968,4.056320820908766,4.194523977643025,3.206154079094243,4.062839386219075
11/4/23,4.535344255240757,4.303503148,4.715395264325913,3.3114247058995545,4.2823727750793905
11/11/23,5.723889454520812,4.789598079135201,3.6575188277720536,3.7178910472306113,5.298913069579076
11/18/23,6.609360230735648,5.234065439265072,4.406825488706284,3.8049104026212595,6.077665997042752
11/25/23,8.086148435076607,5.947591931711259,5.897046049322929,3.8411123529293816,5.155857514837543
12/2/23,10.878125926948247,7.506665002825415,6.661392265248704,5.678099475396434,6.375223363807038
12/9/23,11.218941526700998,8.558090748228576,8.454124712,6.066313752778964,7.185352374133005
12/16/23,12.154282252443922,9.760988697062094,10.418858284644944,7.570660679,7.574590812680018
12/23/23,12.485180791336546,11.351646955624169,10.862466927303643,10.542997991182897,11.034143389473485
12/30/23,14.977532766638767,13.419830702552858,12.929728642088524,13.074432736362148,11.82634681250073
1/6/24,12.425384741094046,12.719225540027622,12.204350120626795,13.183220276756867,13.435029246795331
1/13/24,11.066461228798754,10.312686109330492,9.378080346416656,10.719382407294987,9.264488604410477
1/20/24,7.802990569179235,8.297621626723611,7.849325076449242,10.342868633733925,8.709357106589602
1/27/24,7.115785795693027,8.124723553575855,8.392124941800859,11.36880966221222,7.609894774892108
2/3/24,6.406372402525948,6.994786914169454,6.4383856651729126,10.221092904742573,6.412614492684772
2/10/24,6.791036727762096,6.900546866890378,5.7017531929473595,9.557545442662162,6.453240056494633
2/17/24,7.209281848879954,6.5169091492874625,5.475155530383005,9.351045847382625,5.496622596839723
2/24/24,6.543737109924413,5.890755728500654,4.3058141228994335,8.842083522007428,4.594098183381394
3/2/24,6.254235937897212,4.891861773745337,3.577327224225451,7.322223920379228,3.4684910833915925
3/9/24,4.701278619755595,4.022480723,2.279371892832998,5.1835177428913255,3.139854372991117
3/16/24,3.2007761546168245,2.955962776644359,1.6911390177002614,3.921302694674753,2.597817237219159
3/23/24,2.6779238136477153,2.4784616175199905,1.7826466252270308,3.0786493134569697,2.2193162829362136
3/30/24,2.6487102837286196,2.3683340683295864,1.696532946784533,2.6801601614366577,1.726881771155556
4/6/24,2.240559987431393,2.0911778378772095,1.5872874167091564,2.5433549243086393,1.6606265665670004
4/13/24,2.2204197053031676,1.8065035221934456,1.584164937420546,2.056902025664808,1.3314900123318014
4/20/24,1.7582588893911293,1.5159352921285516,1.4370506884636958,1.5836252615793698,1.275262739678384
4/27/24,1.5333521417865454,1.367721991885255,1.2204437632388658,1.3918138535434434,1.3123941842775526
5/4/24,1.4699830715827769,1.3336051976896024,1.287564356586735,1.310960791,1.257360768217589
5/11/24,1.3973577631381144,1.392502936837189,1.2586936153398467,1.3415675142240477,1.7206354490997129
5/18/24,1.3674353617727277,1.5339554568543294,1.3074786432672236,1.3959187336917687,2.2307211964162486
5/25/24,1.4474553130030599,1.6640949063669392,1.3485067532115933,1.5740942266989262,2.7825762027100165
6/1/24,1.7122075253481344,1.9058869407325123,1.2974245934349329,1.848184730952868,3.3848422903715614
6/8/24,1.8239237965547708,2.1735309753464147,1.2873814052499892,2.011125718,4.395358080823897
6/15/24,2.1267663547901168,2.4176679788143804,1.6326375950007241,2.388353781613006,4.501039880123845
6/22/24,2.438112896992091,2.9799376354923726,1.807407957599009,3.281851451905437,6.6063435539363065
6/29/24,2.863013364671546,3.8074193249545702,2.658469682067904,3.857518796064416,6.883145003727189
7/6/24,3.2501892877252727,4.582773033009184,2.770284226237071,4.853230555200007,7.295728498157336
7/13/24,4.512927414112551,5.712033378516075,3.4638549270124224,6.269291239859846,9.924044712592707
7/20/24,5.064799867137409,6.3407129994770965,3.937204046332506,7.745790269464317,9.703078943642707
7/27/24,5.904697602589089,6.814980565419349,4.302344357144131,9.089715849290162,10.282727243361512
8/3/24,7.016398480876362,8.045610867,5.378725677485883,10.660942101868727,12.197306549746253
8/10/24,6.436308535975144,8.374329675078549,5.9938684707682945,11.14927064122329,11.77413088595262
8/17/24,7.041928389647383,8.123559512694897,6.574988067,9.751664850359305,11.162506582336523
8/24/24,8.285797386509387,8.309843384249843,6.083131343562078,9.744476769117052,9.588191628457777
