5/4/24	1.4699830715827769	1.335469653836306	1.2959190917179666	1.3019763975790974	1.2678308078133904
5/11/24	1.3973577631381144	1.392502936837189	1.2586936153398467	1.363945843072543	1.7219612336619743
5/18/24	1.3674353617727277	1.5334037789937356	1.3017946246217655	1.3959187336917687	2.232792468451744
5/25/24	1.4437054721823066	1.664094906366939	1.30798546	1.5936473798551405	2.7825762027100165
6/1/24	1.7061921039999914	1.898062358462939	1.3080021600925291	1.841826923760348	3.4193459073101313
6/8/24	1.820737797158459	2.1695539731195708	1.2842347199887505	2.011125718	4.424418855943805
6/15/24	2.123203347001142	2.4023594586899737	1.6326375950007241	2.388353781613006	4.569061429001253
6/22/24	2.438112896992091	2.972894892435165	1.8018645693378612	3.2938258978385093	6.348672988
6/29/24	2.870875182	3.826149634790059	2.658469682067904	3.9103149984659957	6.852120091403476
7/6/24	3.2501892877252727	4.563642085655924	2.770014626233854	4.853230555200007	7.299401337803212
7/13/24	4.512927414112551	5.708143382417636	3.444930989516268	6.188797852759652	9.932580862437701
7/20/24	5.064799867137409	6.346320764343719	3.916798317854894	7.697043075086842	9.744255023341571
7/27/24	5.904697602589089	6.814980565419349	4.302344357144131	9.122676119302989	10.367412616592034
8/3/24	6.979559877489624	8.091723727	5.378725677485883	10.588004656334931	12.618059361565715
8/10/24	6.416413667846008	8.367423790646923	5.986717360364301	10.966835481625608	12.443341875773978
8/17/24	7.041928389647383	8.123559512694897	6.565073636	10.105247052057468	11.110060388040303
