Date,Midwest,National,Northeast,South,West
5/4/24,1.4699830715827769,1.3312541534872606,1.2907810234423118,1.3241427226360418,1.2500877375918233
5/11/24,1.3956512524177602,1.363867582424691,1.2608814434238869,1.3259053155463103,1.668271981
5/18/24,1.3706906597278954,1.5308967218787606,1.3074786432672236,1.388514670609105,2.1529325130878685
5/25/24,1.4474553130030599,1.6546026057756424,1.3485067532115933,1.5538524246412175,2.7061281494797784
6/1/24,1.7122075253481344,1.9275571789491956,1.2868470267773366,1.780365601696841,3.4848848372041696
6/8/24,1.8273383886266348,2.1641858592981142,1.2873814052499892,2.0433516539165293,4.260005049712997
6/15/24,2.1305401167294438,2.418494009725249,1.5789865752692438,2.3992978522624773,4.418208330137432
6/22/24,2.4150619474407033,2.9989029970990613,1.807407957599009,3.27072398,6.859163858942073
6/29/24,2.870875182,3.783515145181119,2.6601998116038725,4.014121084,6.901155321
7/6/24,3.2501892877252727,4.428154184032572,2.770284226237071,4.629202414867197,7.097103724800597
7/13/24,4.512927414112551,5.4549160204365545,3.4638549270124224,5.801453342700121,9.371675754737405
7/20/24,5.064799867137409,6.099920880561449,3.9187361423961855,7.621354917127577,9.633359640396288
7/27/24,5.904697602589089,6.588451604153539,4.257951329359804,8.521023654144068,10.461931264277318
8/3/24,6.906823947484767,7.973367494424712,5.378725677485883,10.322974948744553,12.054398757739182
8/10/24,6.405013226427534,8.091546676,5.946764194360778,10.410383169395995,11.373436323285889
8/17/24,7.041928389647383,7.9149858142150915,6.557914637308539,9.439358973065787,10.81997967549835
8/24/24,8.222510969896888,8.173177441774431,6.043012707,9.867663997050279,8.796864348939847
8/31/24,8.177259799605965,7.595103801404895,5.615524805636632,8.837434397891943,9.127866142342294
9/7/24,7.834104076279954,7.4319715897153165,4.5041688040518215,7.855158159442697,10.170786015992512
9/14/24,7.467082949982454,6.599188649056314,4.130963084241002,6.658751328,7.391098645494483
9/21/24,5.6012936791015715,5.216144255438461,3.8562017245156004,5.229134504307216,5.375714290259401
