i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS,AICc,RelativeLikelihood
1,1.36153323954896,1.94290043771812,0,1.00989192148012,15.8146278143411,1
2,0.938222312767557,0.926654920789566,100,0.520323947986219,151.653542002357,3.18386445310044e-30
3,0.810854631836085,0.698115534379984,100,0.437182672691061,158.745399703286,9.18284464979857e-32
4,1.30478200058276,1.78392765927075,50,0.787923968073162,159.701578874151,5.69305747645257e-32
