prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
6.49,6.39,6.31,6.22,6.06,6.02,5.87,5.72,5.48,5.16,4.96,4.62,6.58,6.7,6.8,6.88,7.02,7.16,7.34,7.43,7.76,7.97,8.19
6.65,6.57,6.47,6.33,6.24,6.16,5.98,5.84,5.64,5.37,5.3,4.97,6.76,6.86,6.94,7.04,7.21,7.35,7.4,7.58,8,8.1,8.5
6.82,6.72,6.57,6.5,6.38,6.29,6.2,5.95,5.8,5.44,5.18,5.01,6.92,6.96,7.11,7.19,7.41,7.47,7.62,7.87,8.14,8.36,8.69
6.98,6.85,6.78,6.73,6.57,6.5,6.27,6.17,6.03,5.79,5.5,5.26,7.04,7.15,7.31,7.36,7.57,7.62,7.77,8.01,8.2,8.58,8.75
7.14,7.07,6.91,6.73,6.73,6.53,6.45,6.29,6.19,5.84,5.69,5.23,7.24,7.31,7.39,7.53,7.63,7.8,7.9,8.11,8.4,8.6,8.93
7.31,7.24,7.12,7.02,6.88,6.78,6.71,6.52,6.34,6.03,5.69,5.56,7.42,7.49,7.58,7.72,7.87,8.02,8.15,8.39,8.49,8.89,9.24
7.47,7.41,7.27,7.24,7.06,6.95,6.84,6.62,6.52,6.2,6.05,5.68,7.6,7.68,7.85,7.84,7.96,8.13,8.34,8.53,8.67,9.11,9.4
7.64,7.61,7.45,7.27,7.26,7.13,7.03,6.78,6.65,6.34,6.08,5.86,7.78,7.85,7.88,8.02,8.16,8.35,8.47,8.63,8.9,9.17,9.4
7.8,7.74,7.58,7.52,7.43,7.29,7.14,7.03,6.74,6.45,6.29,6.06,7.91,7.97,8.06,8.24,8.34,8.48,8.57,8.83,9.03,9.27,9.54
7.96,7.9,7.78,7.68,7.58,7.41,7.33,7.17,7.07,6.58,6.44,6.14,8.05,8.17,8.3,8.41,8.4,8.55,8.74,8.89,9.26,9.35,9.67
8.13,8.04,7.96,7.81,7.71,7.66,7.5,7.35,7.14,6.95,6.62,6.43,8.24,8.33,8.43,8.55,8.67,8.83,8.92,9.07,9.41,9.64,9.94
8.29,8.18,8.13,7.95,7.96,7.73,7.66,7.5,7.34,6.96,6.75,6.44,8.35,8.53,8.55,8.72,8.81,9,9.13,9.25,9.61,9.76,9.92
