year,month,day,data,median,LB,UB
2024,11,2,2.04542819953756,2.04542819953756,2.04542819953756,2.04542819953756
2024,11,9,1.79288743173219,1.61835151245565,0.482992388637375,2.1637687447227
2024,11,16,1.73650623130183,1.74574350518864,0.830918317624679,2.24797176007962
2024,11,23,1.89485025003821,1.89373303521126,1.25644566016663,2.59974067772038
2024,11,30,1.80345651142021,2.05249609011601,1.54592173537707,3.06635084721023
2024,12,7,2.88611728509856,2.51883523192445,1.76919033296508,3.6369330597173
2024,12,14,3.60112717659518,3.36602909387744,2.81949016493733,4.24324528902136
2024,12,21,4.07873364821889,3.99810044157699,3.4411596898954,4.89255563109336
2024,12,28,5.00729735275983,4.68464497756902,4.1204847494078,5.60582416250221
2025,1,4,5.656518181,5.40685795568712,4.82546461652037,6.47760575578639
2025,1,11,5.41783908314194,6.17907012567147,5.52467074866522,7.46157433655556
2025,1,18,4.38855568673999,6.99045928056333,6.13471533445082,8.72564567027534
