year,month,day,data,median,LB,UB
2024,11,2,2.04542819953756,2.04542819953756,2.04542819953756,2.04542819953756
2024,11,9,1.79288743173219,1.83732541745477,1.43758888538204,2.21128080348996
2024,11,16,1.73650623130183,1.85970433759727,1.48802415910123,2.2331699574365
2024,11,23,1.89485025003821,1.86961351401168,1.52164532603017,2.23191040069955
2024,11,30,1.80345651142021,1.88738968168483,1.52582225495663,2.32903523134546
2024,12,7,2.88611728509856,2.11588512237747,1.71179013406552,3.43260373098003
2024,12,14,3.60112717659518,3.27677195552324,2.88506582505063,4.13239140864457
2024,12,21,4.07873364821889,3.88783221188852,3.50253139214356,4.77929620743791
2024,12,28,5.00729735275983,4.57150218948062,4.18315094636726,5.4091397064631
2025,1,4,5.656518181,5.3023372206314,4.91651107215742,6.20395725946714
2025,1,11,5.41783908314194,6.06496762795048,5.66028731275714,7.06056653961316
2025,1,18,4.38855568673999,6.86444633840496,6.36928555279614,8.1266192973712
