year,month,day,data,median,LB,UB
2024,10,12,2.21418858630058,2.21418858630058,2.21418858630058,2.21418858630058
2024,10,19,2.033648178,1.33685333567574,-0,2.87215796660582
2024,10,26,2.18395185072011,1.64878063691837,0.0344658750523975,3.25244512778253
2024,11,2,2.2329548555641,1.94479406699215,0.35177889680004,3.55127162260785
2024,11,9,2.1116598348262,2.28527464788735,0.658295561537066,3.79036432521277
2024,11,16,2.2462368600527,2.55973400166471,0.972433467068326,4.13204203066507
2024,11,23,2.19426593021964,2.89010710006736,1.30881882793205,4.41587736753744
2024,11,30,2.396840542,3.26060146813039,1.65173378933734,4.85447140779199
2024,12,7,3.67405049470132,3.57925980580147,1.92139604402106,5.23832804792689
2024,12,14,4.90914644423761,3.94153833979952,2.22776036812431,5.76130532507795
2024,12,21,6.36408778644518,4.28162065880057,2.37859487305704,6.40034008725855
2024,12,28,8.910965789,4.66480981170356,2.5182196171968,7.22441043271961
