means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.07,5.02,4.97,4.93,4.88,4.82,4.76,4.69,4.6,4.47,4.35,4.22,5.11,5.16,5.21,5.26,5.31,5.37,5.44,5.53,5.66,5.78,5.91
5.44,5.4,5.36,5.32,5.28,5.23,5.18,5.12,5.05,4.93,4.84,4.72,5.48,5.52,5.56,5.6,5.65,5.7,5.76,5.84,5.95,6.05,6.16
5.82,5.79,5.75,5.72,5.68,5.64,5.6,5.55,5.49,5.39,5.31,5.21,5.85,5.88,5.92,5.95,5.99,6.04,6.09,6.15,6.25,6.33,6.42
6.19,6.17,6.14,6.11,6.08,6.05,6.01,5.97,5.91,5.83,5.76,5.68,6.22,6.25,6.28,6.31,6.34,6.38,6.42,6.48,6.56,6.63,6.71
6.57,6.55,6.52,6.49,6.47,6.44,6.4,6.37,6.32,6.24,6.18,6.11,6.6,6.62,6.65,6.68,6.7,6.74,6.78,6.83,6.9,6.96,7.03
6.95,6.92,6.9,6.87,6.84,6.81,6.78,6.74,6.69,6.62,6.56,6.49,6.97,7,7.02,7.05,7.08,7.11,7.15,7.2,7.27,7.34,7.41
7.32,7.3,7.27,7.24,7.21,7.17,7.14,7.09,7.04,6.96,6.89,6.81,7.35,7.38,7.41,7.44,7.47,7.51,7.55,7.61,7.69,7.76,7.84
7.7,7.67,7.63,7.6,7.56,7.52,7.48,7.43,7.37,7.27,7.19,7.1,7.73,7.77,7.8,7.84,7.87,7.92,7.97,8.03,8.13,8.21,8.3
8.08,8.04,8,7.96,7.91,7.87,7.82,7.76,7.68,7.57,7.47,7.36,8.11,8.15,8.19,8.24,8.28,8.34,8.4,8.47,8.58,8.68,8.79
8.45,8.41,8.36,8.31,8.26,8.21,8.15,8.08,7.99,7.85,7.74,7.61,8.5,8.54,8.59,8.64,8.7,8.76,8.83,8.92,9.05,9.16,9.3
8.83,8.78,8.72,8.67,8.61,8.54,8.47,8.39,8.29,8.13,8,7.84,8.88,8.94,8.99,9.05,9.11,9.18,9.27,9.37,9.52,9.66,9.81
9.2,9.14,9.08,9.02,8.95,8.88,8.8,8.7,8.58,8.41,8.26,8.08,9.27,9.33,9.39,9.46,9.53,9.61,9.71,9.82,10,10.15,10.33
