prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.07,5.01,4.88,4.83,4.8,4.67,4.62,4.54,4.36,4.17,3.96,3.78,5.14,5.19,5.28,5.38,5.46,5.55,5.64,5.74,5.97,6.11,6.28
5.44,5.36,5.28,5.26,5.15,5.02,5,4.86,4.76,4.53,4.39,4.35,5.51,5.54,5.66,5.73,5.8,5.94,6,6.14,6.38,6.47,6.71
5.82,5.74,5.67,5.59,5.51,5.47,5.36,5.26,5.14,4.94,4.7,4.61,5.88,5.93,6.02,6.08,6.16,6.31,6.39,6.47,6.68,6.92,7.04
6.2,6.1,6.05,5.96,5.94,5.84,5.67,5.63,5.5,5.31,5.13,5,6.24,6.32,6.43,6.48,6.58,6.63,6.75,6.94,7.09,7.26,7.46
6.57,6.55,6.43,6.35,6.27,6.19,6.13,6.02,5.86,5.65,5.55,5.33,6.68,6.72,6.8,6.89,6.93,7.06,7.15,7.31,7.44,7.69,7.81
6.95,6.9,6.82,6.73,6.66,6.56,6.55,6.35,6.22,6.01,5.94,5.72,7.03,7.11,7.22,7.23,7.31,7.4,7.52,7.71,7.89,8.03,8.18
7.32,7.27,7.23,7.07,7.06,6.95,6.85,6.77,6.65,6.42,6.25,6,7.39,7.51,7.53,7.62,7.73,7.82,7.95,8.05,8.26,8.42,8.62
7.7,7.65,7.59,7.47,7.41,7.31,7.24,7.12,6.98,6.79,6.61,6.36,7.78,7.87,7.92,7.99,8.09,8.17,8.28,8.44,8.49,8.72,8.95
8.08,7.95,7.93,7.86,7.8,7.72,7.64,7.51,7.41,7.12,6.98,6.76,8.1,8.19,8.27,8.41,8.45,8.52,8.66,8.81,8.96,9.24,9.35
8.45,8.38,8.31,8.28,8.16,8.04,7.97,7.92,7.77,7.53,7.43,7.19,8.51,8.59,8.67,8.69,8.8,8.87,9.06,9.18,9.32,9.52,9.73
8.83,8.73,8.72,8.58,8.55,8.49,8.33,8.25,8.16,7.94,7.7,7.48,8.9,9,9.01,9.13,9.21,9.27,9.36,9.57,9.74,9.82,10.13
9.2,9.14,9.08,9.01,8.89,8.84,8.74,8.61,8.48,8.37,8.17,7.99,9.27,9.35,9.4,9.47,9.57,9.67,9.79,9.91,10.07,10.31,10.51
