means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
4.43,4.36,4.28,4.2,4.12,4.03,3.92,3.81,3.66,3.44,3.25,3.03,4.51,4.59,4.67,4.75,4.84,4.94,5.06,5.21,5.43,5.62,5.84
4.56,4.5,4.43,4.37,4.29,4.22,4.13,4.03,3.91,3.72,3.56,3.37,4.63,4.69,4.76,4.83,4.91,4.99,5.09,5.22,5.41,5.57,5.75
4.69,4.64,4.58,4.53,4.47,4.4,4.33,4.25,4.14,3.98,3.85,3.69,4.75,4.8,4.86,4.92,4.98,5.06,5.14,5.25,5.4,5.54,5.7
4.82,4.78,4.73,4.68,4.63,4.58,4.52,4.44,4.35,4.22,4.11,3.97,4.87,4.92,4.97,5.02,5.07,5.13,5.2,5.29,5.43,5.54,5.68
4.95,4.91,4.87,4.83,4.78,4.73,4.68,4.61,4.53,4.41,4.31,4.19,5,5.04,5.08,5.13,5.18,5.23,5.3,5.38,5.5,5.6,5.72
5.09,5.04,5,4.96,4.91,4.86,4.81,4.74,4.66,4.54,4.44,4.32,5.13,5.17,5.21,5.26,5.31,5.36,5.43,5.51,5.63,5.73,5.85
5.22,5.17,5.12,5.07,5.02,4.97,4.91,4.84,4.75,4.61,4.5,4.36,5.26,5.31,5.36,5.41,5.46,5.52,5.6,5.69,5.82,5.93,6.07
5.35,5.29,5.24,5.18,5.12,5.06,4.98,4.9,4.79,4.64,4.5,4.34,5.4,5.46,5.51,5.57,5.64,5.71,5.79,5.9,6.05,6.19,6.35
5.48,5.41,5.35,5.28,5.21,5.13,5.05,4.95,4.82,4.63,4.47,4.29,5.54,5.61,5.67,5.75,5.82,5.91,6.01,6.13,6.32,6.48,6.67
5.61,5.53,5.45,5.37,5.29,5.2,5.1,4.98,4.83,4.61,4.42,4.2,5.68,5.76,5.84,5.92,6.01,6.12,6.23,6.38,6.6,6.79,7.01
5.74,5.65,5.56,5.47,5.37,5.26,5.15,5.01,4.84,4.58,4.36,4.1,5.83,5.92,6.01,6.11,6.21,6.33,6.47,6.64,6.89,7.11,7.37
5.87,5.77,5.66,5.56,5.45,5.33,5.19,5.04,4.84,4.55,4.29,4,5.97,6.07,6.18,6.29,6.41,6.55,6.7,6.9,7.19,7.44,7.74
