means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
3.44,3.42,3.4,3.37,3.35,3.32,3.29,3.25,3.21,3.14,3.09,3.02,3.47,3.49,3.51,3.54,3.57,3.6,3.63,3.68,3.74,3.8,3.87
3.87,3.85,3.83,3.81,3.8,3.78,3.75,3.73,3.69,3.64,3.6,3.55,3.88,3.9,3.92,3.94,3.96,3.98,4.01,4.04,4.09,4.13,4.18
4.49,4.47,4.45,4.44,4.42,4.4,4.38,4.35,4.32,4.27,4.23,4.18,4.5,4.52,4.54,4.56,4.58,4.6,4.62,4.66,4.7,4.75,4.79
5.29,5.28,5.26,5.24,5.22,5.21,5.18,5.16,5.13,5.08,5.04,4.99,5.31,5.33,5.34,5.36,5.38,5.4,5.43,5.46,5.51,5.55,5.59
6.04,6.02,6.01,5.99,5.97,5.95,5.93,5.9,5.87,5.82,5.78,5.73,6.06,6.07,6.09,6.11,6.13,6.15,6.18,6.21,6.26,6.3,6.35
6.39,6.37,6.35,6.34,6.32,6.3,6.27,6.25,6.22,6.17,6.13,6.08,6.4,6.42,6.44,6.46,6.48,6.5,6.52,6.56,6.6,6.65,6.69
6.16,6.14,6.12,6.11,6.09,6.07,6.05,6.02,5.99,5.94,5.9,5.86,6.17,6.19,6.21,6.23,6.25,6.27,6.29,6.32,6.37,6.41,6.46
5.51,5.5,5.48,5.46,5.44,5.43,5.4,5.38,5.35,5.3,5.26,5.21,5.53,5.55,5.56,5.58,5.6,5.62,5.65,5.68,5.73,5.77,5.82
4.79,4.77,4.76,4.74,4.72,4.7,4.68,4.65,4.62,4.57,4.52,4.47,4.81,4.82,4.84,4.86,4.88,4.9,4.93,4.96,5.01,5.06,5.11
4.22,4.2,4.17,4.15,4.13,4.1,4.07,4.03,3.99,3.92,3.86,3.8,4.24,4.27,4.29,4.32,4.34,4.37,4.41,4.45,4.52,4.58,4.64
3.72,3.67,3.62,3.56,3.5,3.44,3.37,3.29,3.19,3.04,2.91,2.76,3.77,3.83,3.88,3.94,4,4.07,4.15,4.25,4.4,4.53,4.68
3.22,3.13,3.05,2.96,2.86,2.76,2.64,2.51,2.34,2.09,1.88,1.63,3.31,3.39,3.48,3.58,3.68,3.8,3.93,4.1,4.35,4.56,4.81
