prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
4.43,4.29,4.2,4.04,4.03,3.78,3.63,3.55,3.3,2.85,2.59,2.38,4.51,4.68,4.78,4.98,5.02,5.16,5.28,5.58,5.93,6.32,6.48
4.56,4.48,4.38,4.21,4.15,3.94,3.76,3.54,3.38,3.16,2.8,2.44,4.69,4.81,4.87,5.1,5.26,5.38,5.45,5.64,6.07,6.34,6.69
4.69,4.56,4.38,4.36,4.2,4.05,3.85,3.77,3.5,3.21,2.84,2.43,4.79,4.89,5.05,5.16,5.34,5.41,5.66,5.85,6.26,6.53,6.69
4.82,4.7,4.56,4.48,4.35,4.2,4.02,3.85,3.67,3.25,3.04,2.7,4.93,5.03,5.17,5.33,5.52,5.57,5.72,6.08,6.38,6.52,6.93
4.95,4.84,4.82,4.55,4.43,4.31,4.16,4.06,3.6,3.55,3.05,2.88,5.06,5.21,5.3,5.4,5.52,5.75,5.89,6.17,6.51,6.7,7.24
5.08,4.93,4.85,4.7,4.53,4.48,4.31,4.12,3.93,3.7,3.3,2.76,5.17,5.3,5.43,5.54,5.69,5.85,6,6.25,6.51,6.89,7.16
5.21,5.1,4.99,4.83,4.74,4.59,4.41,4.24,4.08,3.64,3.51,3.09,5.34,5.47,5.5,5.71,5.86,5.96,6.19,6.3,6.74,7.06,7.29
5.34,5.16,5.11,4.91,4.93,4.79,4.6,4.45,4.26,3.81,3.57,3.34,5.45,5.55,5.65,5.86,5.92,6.08,6.34,6.47,6.79,7.11,7.33
5.47,5.37,5.29,5.09,5.03,4.82,4.72,4.56,4.39,3.87,3.61,3.35,5.6,5.74,5.78,5.94,6.06,6.22,6.4,6.59,6.95,7.16,7.5
5.6,5.45,5.34,5.32,5.1,4.96,4.81,4.64,4.48,4.14,3.79,3.54,5.68,5.82,6,6.02,6.24,6.36,6.51,6.86,7.03,7.28,7.61
5.73,5.58,5.49,5.38,5.22,5.19,4.95,4.76,4.56,4.22,4.02,3.54,5.79,5.95,6.07,6.19,6.33,6.46,6.67,6.88,7.17,7.63,7.82
5.86,5.74,5.6,5.48,5.41,5.31,5.13,4.95,4.68,4.39,4.13,3.83,5.98,6.05,6.17,6.33,6.49,6.65,6.79,7.07,7.43,7.63,7.94
