Date,data,median,LB,UB
2024-09-07,7.7,6.8,5.82,7.77
2024-09-14,6.87,6.12,5.29,6.95
2024-09-21,5.46,5.44,4.75,6.14
2024-09-28,4.21,4.77,4.18,5.36
2024-10-05,2.96,4.09,3.56,4.62
2024-10-12,2.38,3.42,2.88,3.95
2024-10-19,2.19,2.74,2.15,3.33
2024-10-26,2.08,2.06,1.37,2.76
2024-11-02,1.94,1.39,0.56,2.22
2024-11-09,1.76,0.71,0,1.69
2024-11-16,1.73,0.04,0,1.17
2024-11-23,1.76,0,0,0.66
