Date,data,median,LB,UB
2024-07-06,4.49,5.47,4.13,6.84
2024-07-13,5.47,5.81,4.4,7.26
2024-07-20,6.11,6.16,4.8,7.53
2024-07-27,6.71,6.51,5.22,7.85
2024-08-03,7.95,6.85,5.51,8.22
2024-08-10,8.2,7.2,5.78,8.57
2024-08-17,7.92,7.54,6.13,8.86
2024-08-24,8.21,7.89,6.44,9.21
2024-08-31,7.7,8.23,6.8,9.65
2024-09-07,7.49,8.58,7.25,10.01
2024-09-14,6.78,8.93,7.53,10.34
2024-09-21,5.29,9.27,7.93,10.69
