prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
6.52,6.4,6.1,5.97,5.84,5.58,5.26,4.96,4.82,4.12,3.83,3.2,6.75,6.76,6.94,7.26,7.52,7.62,7.91,8.4,8.79,9.15,9.46
6.91,6.71,6.54,6.44,6.24,5.98,5.78,5.5,5.08,4.88,3.95,3.58,7.1,7.23,7.41,7.74,7.92,8.15,8.36,8.74,9.19,9.84,9.79
7.3,7.15,6.87,6.75,6.47,6.16,6.07,5.86,5.57,5.05,4.56,3.9,7.51,7.57,7.77,8.03,8.14,8.52,8.84,9.06,9.58,10.01,10.58
7.69,7.48,7.4,7.13,6.86,6.86,6.5,6.19,5.89,5.12,4.82,4.59,7.84,8.12,8.25,8.33,8.7,8.9,9.12,9.37,9.92,10.48,10.87
8.08,7.89,7.68,7.46,7.28,7.1,6.85,6.52,6.34,5.63,5.31,4.9,8.18,8.27,8.67,8.73,9,9.24,9.57,9.93,10.44,10.91,11.44
8.47,8.23,8.11,7.93,7.69,7.45,7.28,6.98,6.67,6.19,5.78,5.26,8.64,8.73,8.99,9.18,9.45,9.6,9.94,10.08,10.74,11.22,11.74
8.86,8.68,8.55,8.29,8.1,7.85,7.77,7.41,7.07,6.51,5.82,5.63,9.07,9.17,9.37,9.6,9.74,10.13,10.17,10.73,11.22,11.58,11.87
9.25,9.04,8.85,8.74,8.42,8.4,8.01,7.73,7.43,7,6.52,5.88,9.43,9.55,9.8,10,10.27,10.27,10.69,11.01,11.4,12.01,12.34
9.64,9.52,9.27,9.14,8.9,8.84,8.48,8.25,7.73,7.16,6.8,6.53,9.78,9.97,10.23,10.36,10.74,10.94,11.1,11.36,11.93,12.44,12.96
10.03,9.81,9.67,9.62,9.16,9.1,8.8,8.54,8.31,7.65,7.4,6.7,10.19,10.34,10.57,10.81,10.99,11.13,11.52,11.76,12.49,12.89,12.99
10.42,10.21,10.05,9.96,9.77,9.37,9.31,9.04,8.66,8.2,7.77,6.93,10.55,10.76,11.04,11.19,11.36,11.57,11.94,12.2,12.63,13.22,13.79
10.81,10.7,10.35,10.26,10.09,9.92,9.54,9.33,9.05,8.56,8.01,7.35,11,11.12,11.38,11.53,11.74,11.99,12.19,12.61,13.11,13.26,14.16
