means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
3.75,3.68,3.61,3.54,3.46,3.38,3.29,3.18,3.05,2.85,2.67,2.47,3.82,3.89,3.96,4.04,4.12,4.22,4.32,4.46,4.66,4.83,5.03
2.83,2.68,2.52,2.36,2.19,2,1.8,1.56,1.26,0.81,0.42,0,2.99,3.15,3.31,3.48,3.66,3.87,4.11,4.41,4.86,5.25,5.7
