year,month,day,data,median,LB,UB
2024,10,26,2.163760257,2.163760257,2.163760257,2.163760257
2024,11,2,2.25252360140498,2.22647993080054,0.960900643551751,3.4086197121107
2024,11,9,2.17728352535069,2.26908593530971,1.08507581987227,3.41405752452448
2024,11,16,2.24384260883631,2.31013597740316,1.13997420309026,3.46786418928885
2024,11,23,2.29125573385731,2.32670819533097,1.21358751235648,3.4907889595511
2024,11,30,1.64767350364713,2.36185465453586,1.18682569827551,3.48412642117049
2024,12,7,2.8567903800716,2.53621735120565,1.27819046084391,3.76735240752442
2024,12,14,3.14146515414892,2.88772459485879,1.61933159780711,4.1419871682096
2024,12,21,2.75928815201516,3.03344191155772,1.79045264211627,4.31567743850231
2024,12,28,3.06642478426563,3.08566145714268,1.82070097618469,4.39292224420151
2025,1,4,3.45681875297855,3.12205634041401,1.82664498336243,4.69620765178916
2025,1,11,3.21358505272292,3.16799952733474,1.82554189671951,5.19464143965554
